"datetime","Q_m3.s","No3_mg.l","hour","TP","T2M","RO","ROSS","ROS","VSWL1","VSWL2","VSWL3","VSWL4","SNSR","CP","LSP"
2015-08-04 08:45:00,0,1.15857,9,3.70663635731389,16.0366176022482,0.028259217210693,0.00779217035398363,0.0205791352532667,0.249139427538439,0.176911858877618,0.181358432772686,0.345767370120086,204070.671692125,1.01615646043845,2.69016478585132
2015-08-04 09:45:00,0,1.109045,10,2.14116648243153,15.9031768256309,0.0200490112282475,0.00779217035398363,0.0122250123342998,0.303606878726487,0.1786508926742,0.182433525635129,0.345751290951077,207708.950894969,0.626785775328713,1.51433299834064
2015-08-04 10:45:00,0.025,1.01141,11,0.391541200236923,16.4396357053651,0.00943047815761783,0.00779217035398363,0.0016730115269659,0.308053649201462,0.179160532398648,0.182449106691107,0.345736551712818,620060.887064532,0.108977418461169,0.282850875897313
2015-08-04 11:45:00,0.1,1.03013027697248,12,0.200734357727955,15.8202817977322,0.00876271473771221,0.00779217035398363,0.00103879800693963,0.306991340756305,0.1796567605514,0.182476373539067,0.345720472543808,336479.506950697,0.168600322178526,0.0321944086387185
2015-08-04 12:45:00,0.625,1.06501866999666,13,0.0404049869412847,16.0810978611206,0.00777749001981877,0.00779217035398363,0,0.305652480939062,0.180130636084659,0.182484164067056,0.345705733305549,590586.737567333,0.00836376843812948,0.0319184565646725
2015-08-04 13:45:00,0.88828977548296,1.06961511492035,14,0.0119130182627864,16.0305521124019,0.00777749001981877,0.00779217035398363,0,0.303980003593588,0.18056427690283,0.182499745123033,0.345690994067291,734482.724016908,0.00289833559737182,0.00919840246820522
2015-08-04 14:45:00,1.225,1.09045404062316,15,0.00516230791387405,17.0792079124855,0.00777749001981877,0.00779217035398363,0,0.302109989553766,0.18093085986252,0.182515326179011,0.345674914898281,937163.491294462,0.00389205065932756,0.0016557124442769
2015-08-04 15:45:00,0.8,1.11207809476382,16,0.028591243830688,17.6096013023734,0.00820442073090594,0.00779217035398363,0,0.300200468175075,0.181284031250515,0.182519221443005,0.345660175660022,889497.945783041,0.0147401067523466,0.0141655398010363
2015-08-04 16:45:00,0.625,1.13453166104497,17,0.00615505943577302,18.4250727150348,0.00785411860898826,0.00779217035398363,0,0.298146086553862,0.181588026875624,0.182523116707,0.345644096491012,836313.662154945,0.00621071913722458,0
2015-08-04 17:45:00,0.475,1.1578625,18,-4.33680868994202e-16,18.3273509341787,0.00772275531326912,0.00779217035398363,0,0.296381425417692,0.181887551976835,0.182527011970994,0.345629357252754,516880.92405353,0,0
2015-08-04 18:45:00,0.375,1.05386,19,-4.33680868994202e-16,16.2408224270716,0.00772275531326912,0.00772403104234755,0,0.295139139095463,0.182231782317032,0.18255038355496,0.345615957945246,145939.963529825,0,0
