"datetime","hour","Q_m3.s","No3_mg.l","T2M","TP","CP","LSP","RO","ROS","ROSS","VSWL1","VSWL2","VSWL3","VSWL4","SNSR"
2016-10-03 05:00:00,5,1.8278524,1.35,18.21698511434,0.00241,0.00214,0,0,0,0,0.2755063,0.30668484,0.28730402,0.2124617,0
2016-10-03 06:00:00,6,1.7981198,1.39,17.7306486056561,0.00481,0.00464,0,0,0,0,0.27560091,0.30654487,0.28730402,0.21246732,0
2016-10-03 07:00:00,7,1.7981198,1.38,17.5218155206894,0.00024,0,0,0,0,0,0.27569053,0.30641423,0.2872984,0.21246732,0
2016-10-03 08:00:00,8,1.7981198,1.36,16.7814928275863,0.00168,0.00197,0,0,0,0,0.27580007,0.30628359,0.28729559,0.21246732,0
2016-10-03 09:00:00,9,1.8080307,1.33,16.4221494111119,0.00096,0.00089,0,0,0,0,0.27592952,0.30616695,0.2872984,0.21246732,0
2016-10-03 10:00:00,10,1.8377633,1.38,15.0910736668416,0,0,0,0,0,0,0.27596936,0.30524781,0.28671958,0.21246732,0
2016-10-03 11:00:00,11,1.7683871,1.38,15.3666957114149,0,0,0,0,0,0,0.27612371,0.30512184,0.28672239,0.21247293,0
2016-10-03 12:00:00,12,1.7790059,1.39,15.0553274631085,0,0,0,0,0,0,0.27627806,0.3050052,0.28672239,0.21247293,0
2016-10-03 13:00:00,13,1.7882089,1.35,15.1051840104204,0,0,0,0,0,0,0.27642245,0.30488855,0.28671677,0.21248269,25610.91279203
2016-10-03 14:00:00,14,1.769095,1.34,16.7231700741272,0,0,0,0,0,0,0.2763378,0.30471592,0.28670553,0.21248801,333264.30584591
2016-10-03 15:00:00,15,1.7790059,1.35,20.7596690272466,0,0,0,0,0,0,0.27582994,0.30444065,0.28668024,0.21248801,778184.82141822
2016-10-03 16:00:00,16,1.7400702,1.34,22.6655060999615,0,0,0,0,0,0,0.2747943,0.30402074,0.28662685,0.21248801,1310762.83167259
2016-10-03 17:00:00,17,1.7882089,1.33,24.5506480020942,0,0,0,0,0,0,0.27313628,0.30344686,0.28654818,0.21248801,1777701.3621992
2016-10-03 18:00:00,18,1.7110455,1.38,25.6343223889489,0,0,0,0,0,0,0.27104508,0.30273768,0.28646388,0.21248801,2159792.22840401
2016-10-03 19:00:00,19,1.7216643,1.34,26.4179168023604,0,0,0,0,0,0,0.2687348,0.3019725,0.28634868,0.21248801,2234644.26669006
2016-10-03 20:00:00,20,1.7202484,1.35,27.1488325997441,0,0,0,0,0,0,0.26643946,0.30120267,0.28623347,0.21248801,2043852.17894801
2016-10-03 21:00:00,21,1.769095,1.37,27.3764794761494,0,0,0,0,0,0,0.26437316,0.30049348,0.28613232,0.21249362,1775904.91328033
2016-10-03 22:00:00,22,1.7209564,1.39,26.6502671266252,0,0,0,0,0,0,0.2627002,0.29970965,0.28603678,0.21248801,1335083.98626646
2016-10-03 23:00:00,23,1.7499811,1.37,25.8506809904911,0,0,0,0,0,0,0.26163966,0.29927108,0.28597497,0.21248801,736267.67997803
2016-10-04 00:00:00,0,1.7882089,1.39,24.7284383311876,0,0,0,0,0,0,0.26117163,0.29903779,0.28594406,0.21249362,227550.19638961
2016-10-04 01:00:00,1,1.7882089,1.39,23.6419418756171,0.00024,0.00018,0,0,0,0,0.26102226,0.29888849,0.28594406,0.21249362,1381.88378374
2016-10-04 02:00:00,2,1.778298,1.37,22.283586133761,0.00024,0.00018,0,0,0,0,0.26087787,0.29873919,0.28593844,0.21249362,0
2016-10-04 03:00:00,3,1.769095,1.37,22.0154896057631,0,0,0,0,0,0,0.26077331,0.29860855,0.28593282,0.21249894,0
2016-10-04 04:00:00,4,1.7981198,1.37,21.8527503098205,0,0,0,0,0,0,0.26067871,0.29846391,0.28591877,0.2125087,0
2016-10-04 05:00:00,5,1.7882089,1.36,21.2102593321974,0.00024,0.00036,0,0,0,0,0.26059406,0.29832861,0.28591877,0.2125087,0
2016-10-04 06:00:00,6,1.7882089,1.33,20.7681352333939,0.22905,0.22902,0,0.00146,0.00146,0,0.26140565,0.2981933,0.28591315,0.2125087,0
2016-10-04 07:00:00,7,1.7981198,1.31,19.4135422498255,0.02093,0.0209,0,0.00014,0.00014,0,0.27257863,0.29809533,0.28590753,0.21251432,0
2016-10-04 08:00:00,8,1.759892,1.31,18.3562071709846,0.13738,0.13738,0,0.00076,0.00076,0,0.29054302,0.29803001,0.28590191,0.21251432,0
2016-10-04 09:00:00,9,1.769095,1.31,17.9225492783283,0.13618,0.13595,0,9e-04,9e-04,0,0.29755352,0.29803001,0.28591315,0.21251432,0
2016-10-04 10:00:00,10,1.7981198,1.33,18.593260943109,0.33803,0.33746,0.00022,0.00209,0.00209,0,0.26760456,0.29882784,0.28664933,0.21251432,0
